Registered Voters,Ballots Cast,Turnout,
14,976,494,50.61%
15,926,464,50.11%
Total,"20,207","10,050",49.74%
,,,
Ward 15,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,744,510,68.55%
2,936,618,66.03%
3,450,268,59.56%
4,1019,447,43.87%
5,1048,460,43.89%
6,1355,554,40.89%
7,992,399,40.22%
8,798,413,51.75%
9,986,533,54.06%
10,955,416,43.56%
11,930,413,44.41%
12,1192,552,46.31%
13,1065,441,41.41%
14,982,386,39.31%
15,976,465,47.64%
16,1334,619,46.40%
17,1313,602,45.85%
18,990,478,48.28%
19,784,296,37.76%
20,1029,479,46.55%
Total,"19,878","9,349",47.03%
,,,
Ward 16,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1222,521,42.64%
2,821,343,41.78%
3,954,396,41.51%
4,654,279,42.66%
5,1430,591,41.33%
6,1151,554,48.13%
7,793,348,43.88%
8,692,250,36.13%
9,1214,522,43.00%
10,984,425,43.19%
11,871,394,45.24%
12,439,208,47.38%
13,516,235,45.54%
14,1443,600,41.58%
15,1041,511,49.09%
16,902,394,43.68%
17,1693,744,43.95%
18,1386,601,43.36%
19,1134,532,46.91%
20,981,464,47.30%
21,851,368,43.24%
22,1080,520,48.15%
23,1023,446,43.60%
24,921,409,44.41%
25,464,198,42.67%
Total,"24,660","10,853",44.01%
,,,
Ward 17,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1517,777,51.22%
2,881,400,45.40%
3,926,467,50.43%
4,1064,475,44.64%
5,614,286,46.58%
6,1080,472,43.70%
7,585,259,44.27%
8,744,312,41.94%
9,923,367,39.76%
10,1361,727,53.42%
11,997,403,40.42%
12,568,241,42.43%
13,795,306,38.49%
14,689,317,46.01%
15,1633,838,51.32%
16,777,328,42.21%
17,822,365,44.40%
18,1531,872,56.96%
19,1213,642,52.93%
20,1052,630,59.89%
21,1229,712,57.93%
22,1412,762,53.97%
23,946,461,48.73%
24,1605,779,48.54%
25,641,333,51.95%
26,1100,626,56.91%
27,1302,779,59.83%
28,1643,931,56.66%
29,1503,811,53.96%
Total,"31,153","15,678",50.33%
,,,
Ward 18,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1439,869,60.39%
2,1553,959,61.75%
3,624,409,65.54%
4,1099,668,60.78%
5,1048,601,57.35%
6,1514,987,65.19%
7,1132,796,70.32%
8,1844,1198,64.97%
9,1290,888,68.84%
10,1559,1049,67.29%
11,1309,687,52.48%
12,1443,918,63.62%
13,1679,914,54.44%
14,1222,692,56.63%
15,945,507,53.65%
16,1537,770,50.10%
17,1030,609,59.13%
18,1678,860,51.25%
19,1083,686,63.34%
20,1084,644,59.41%
21,1322,793,59.98%
22,1331,857,64.39%
23,1812,1045,57.67%
24,1886,1103,58.48%
25,1280,671,52.42%
26,1760,961,54.60%
Total,"35,503","21,141",59.55%
,,,
Ward 19,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1442,1151,79.82%
2,1209,1018,84.20%
3,1006,810,80.52%
4,1013,784,77.39%
5,939,784,83.49%
6,1079,836,77.48%
7,1368,1119,81.80%
8,1445,878,60.76%
9,1059,706,66.67%
10,916,768,83.84%
11,923,711,77.03%
12,1325,1078,81.36%
13,929,682,73.41%
14,1202,946,78.70%
15,829,667,80.46%
16,925,758,81.95%
17,885,726,82.03%
18,895,704,78.66%
19,1030,838,81.36%
20,832,628,75.48%
21,1494,1148,76.84%
22,953,775,81.32%
23,981,792,80.73%
24,926,777,83.91%
25,867,681,78.55%
26,806,660,81.89%
27,1336,1007,75.37%
28,1704,1298,76.17%
29,1306,972,74.43%
30,981,788,80.33%
31,1405,1105,78.65%
32,902,689,76.39%
33,722,593,82.13%
34,1547,1270,82.09%
35,977,811,83.01%
36,835,680,81.44%
Total,"38,993","30,638",78.57%
,,,
Ward 20,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1127,458,40.64%
2,805,266,33.04%
3,776,309,39.82%
4,426,196,46.01%
5,1050,473,45.05%
6,593,234,39.46%
7,650,327,50.31%
8,871,393,45.12%
9,1220,778,63.77%
10,1532,835,54.50%
11,1231,600,48.74%
12,587,146,24.87%
13,1479,1108,74.92%
14,984,684,69.51%
15,1124,641,57.03%
16,1090,667,61.19%
17,1098,807,73.50%
18,1354,1056,77.99%
19,707,529,74.82%
20,989,689,69.67%
21,1492,983,65.88%
22,1674,892,53.29%
23,633,336,53.08%
Total,"23,492","13,407",57.07%
,,,
Ward 21,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1811,926,51.13%
2,532,310,58.27%
3,1542,904,58.63%
4,1603,835,52.09%
5,1716,831,48.43%
6,1728,781,45.20%
7,1814,1008,55.57%
8,1424,900,63.20%
9,450,287,63.78%
10,1660,914,55.06%
11,1525,943,61.84%
12,1023,437,42.72%
13,1505,750,49.83%
14,1520,953,62.70%
15,1697,912,53.74%
16,1422,910,63.99%
17,1122,670,59.71%
18,1524,911,59.78%
19,1381,810,58.65%
20,1035,662,63.96%
21,1593,975,61.21%
22,1709,1025,59.98%
23,1530,841,54.97%
24,1338,747,55.83%
25,1089,557,51.15%
26,1296,717,55.32%
27,1611,956,59.34%
28,1539,848,55.10%
29,1542,892,57.85%
Total,"41,281","23,212",56.23%
,,,
Ward 22,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,695,327,47.05%
2,498,251,50.40%
3,1033,540,52.27%
4,805,334,41.49%
5,1690,765,45.27%
6,1039,425,40.90%
7,1139,484,42.49%
8,1150,507,44.09%
9,1165,498,42.75%
10,1158,580,50.09%
11,1468,726,49.46%
12,1019,458,44.95%
13,1183,546,46.15%
14,1122,551,49.11%
15,655,323,49.31%
16,1071,552,51.54%
17,362,208,57.46%
18,750,429,57.20%
19,1364,793,58.14%
Total,"19,366","9,297",48.01%
,,,
Ward 23,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,546,415,76.01%
2,974,749,76.90%
3,587,468,79.73%
4,437,345,78.95%
5,759,577,76.02%
6,446,348,78.03%
7,682,517,75.81%
8,694,488,70.32%
9,991,714,72.05%
10,1119,796,71.13%
11,642,399,62.15%
12,863,558,64.66%
13,1569,950,60.55%
14,1266,686,54.19%
15,1328,746,56.17%
16,672,356,52.98%
17,1012,540,53.36%
18,852,464,54.46%
19,751,412,54.86%
20,630,336,53.33%
21,639,335,52.43%
22,667,370,55.47%
23,697,365,52.37%
24,707,368,52.05%
25,510,273,53.53%
26,512,260,50.78%
27,700,346,49.43%
28,852,487,57.16%
29,1007,558,55.41%
30,846,425,50.24%
31,781,454,58.13%
32,605,349,57.69%
33,1203,736,61.18%
Total,"26,546","16,190",60.99%
,,,
Ward 24,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,713,366,51.33%
2,612,311,50.82%
3,1259,622,49.40%
4,1252,604,48.24%
5,1864,880,47.21%
6,1171,587,50.13%
7,730,324,44.38%
8,818,376,45.97%
9,1595,726,45.52%
10,1038,501,48.27%
11,1281,609,47.54%
12,1811,937,51.74%
13,1490,745,50.00%
14,1039,543,52.26%
15,1038,416,40.08%
16,481,245,50.94%
17,1204,545,45.27%
18,1531,755,49.31%
19,2203,1282,58.19%
20,1024,584,57.03%
Total,"24,154","11,958",49.51%
,,,
Ward 25,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1634,704,43.08%
2,1096,430,39.23%
3,1116,577,51.70%
4,1369,671,49.01%
5,1521,977,64.23%
6,1297,844,65.07%
7,1548,947,61.18%
8,1606,988,61.52%
9,1564,966,61.76%
10,1683,1061,63.04%
11,1339,866,64.68%
12,1082,751,69.41%
13,1452,1103,75.96%
14,1725,1235,71.59%
15,1065,834,78.31%
16,1412,1063,75.28%
17,772,482,62.44%
Total,"23,281","14,499",62.28%
,,,
Ward 26,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,883,465,52.66%
2,848,511,60.26%
3,936,744,79.49%
4,1318,671,50.91%
5,1008,609,60.42%
6,599,370,61.77%
7,939,669,71.25%
8,956,556,58.16%
9,885,513,57.97%
10,726,447,61.57%
11,672,478,71.13%
12,408,221,54.17%
13,513,329,64.13%
14,768,366,47.66%
15,961,426,44.33%
16,1153,730,63.31%
17,799,612,76.60%
18,846,398,47.04%
19,912,720,78.95%
20,1180,815,69.07%
21,864,437,50.58%
22,903,450,49.83%
23,1159,689,59.45%
24,787,389,49.43%
25,1090,713,65.41%
26,1353,893,66.00%
27,1294,856,66.15%
28,999,768,76.88%
29,1319,847,64.22%
30,480,336,70.00%
31,1086,493,45.40%
32,863,627,72.65%
Total,"29,507","18,148",61.50%
,,,
Ward 27,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1119,883,78.91%
2,1436,1134,78.97%
3,1203,558,46.38%
4,1277,844,66.09%
5,1289,528,40.96%
6,1454,1110,76.34%
7,1935,1432,74.01%
8,1440,334,23.19%
9,1511,1154,76.37%
10,1055,639,60.57%
11,1268,1081,85.25%
12,924,685,74.13%
13,1126,814,72.29%
14,1133,612,54.02%
15,1517,1089,71.79%
16,2037,1807,88.71%
17,890,500,56.18%
18,1586,1033,65.13%
19,682,304,44.57%
20,1021,519,50.83%
21,570,382,67.02%
22,989,601,60.77%
23,1096,523,47.72%
24,792,367,46.34%
25,1609,718,44.62%
26,1250,782,62.56%
27,1021,608,59.55%
28,971,914,94.13%
29,1621,1365,84.21%
Total,"35,822","23,320",65.10%
,,,
Ward 28,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1030,469,45.53%
2,1020,444,43.53%
3,308,123,39.94%
4,958,412,43.01%
5,690,386,55.94%
6,1209,632,52.27%
7,939,332,35.36%
8,1207,622,51.53%
9,799,375,46.93%
10,840,214,25.48%
11,1388,865,62.32%
12,1631,1188,72.84%
13,1124,884,78.65%
14,1099,765,69.61%
15,549,450,81.97%
16,1560,898,57.56%
17,1132,612,54.06%
18,944,502,53.18%
19,1173,518,44.16%
20,978,459,46.93%
21,1035,497,48.02%
22,861,388,45.06%
23,1049,503,47.95%
24,765,391,51.11%
25,1833,872,47.57%
26,497,253,50.91%
Total,"26,618","14,054",52.80%
,,,
Ward 29,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1593,1020,64.03%
2,1445,876,60.62%
3,1322,804,60.82%
4,982,655,66.70%
5,856,610,71.26%
6,891,599,67.23%
7,1282,967,75.43%
8,1707,1261,73.87%
9,947,589,62.20%
10,1375,772,56.15%
11,1133,661,58.34%
12,1442,846,58.67%
13,1520,847,55.72%
14,1466,753,51.36%
15,1457,788,54.08%
16,1401,802,57.24%
17,1027,617,60.08%
18,1457,829,56.90%
19,1679,899,53.54%
20,1188,567,47.73%
21,1178,710,60.27%
22,1568,838,53.44%
23,1552,766,49.36%
24,1150,614,53.39%
Total,"31,618","18,690",59.11%
,,,
Ward 30,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1515,882,58.22%
2,1083,636,58.73%
3,832,690,82.93%
4,1096,708,64.60%
5,1568,826,52.68%
6,845,641,75.86%
7,901,533,59.16%
8,1300,951,73.15%
9,1524,896,58.79%
10,1001,646,64.54%
11,1597,788,49.34%
12,1763,949,53.83%
13,1527,862,56.45%
14,1240,732,59.03%
15,1202,954,79.37%
16,1098,635,57.83%
17,1198,793,66.19%
18,1207,790,65.45%
19,851,487,57.23%
20,840,515,61.31%
21,1554,971,62.48%
22,986,764,77.48%
23,931,742,79.70%
24,1172,763,65.10%
25,733,519,70.80%
26,1359,945,69.54%
Total,"30,923","19,618",63.44%
,,,
Ward 31,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1167,636,54.50%
2,1315,906,68.90%
3,1039,553,53.22%
4,937,628,67.02%
5,1215,604,49.71%
6,997,551,55.27%
7,972,603,62.04%
8,1283,762,59.39%
9,1042,564,54.13%
10,1363,834,61.19%
11,1328,793,59.71%
12,1730,949,54.86%
13,1165,605,51.93%
14,1543,776,50.29%
15,657,364,55.40%
16,1125,536,47.64%
17,1199,616,51.38%
18,979,542,55.36%
19,1165,659,56.57%
20,1394,684,49.07%
21,1169,613,52.44%
22,616,298,48.38%
23,855,389,45.50%
Total,"26,255","14,465",55.09%
,,,
Ward 32,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1846,1556,84.29%
2,1638,1446,88.28%
3,1129,1022,90.52%
4,1094,1007,92.05%
5,865,769,88.90%
6,512,483,94.34%
7,1269,1167,91.96%
8,808,755,93.44%
9,801,704,87.89%
10,1780,1488,83.60%
11,945,837,88.57%
12,606,525,86.63%
13,407,348,85.50%
14,1615,1522,94.24%
15,1663,1473,88.57%
16,877,743,84.72%
17,1833,1511,82.43%
18,975,704,72.21%
19,890,735,82.58%
20,1561,1340,85.84%
21,1438,1354,94.16%
22,1379,1306,94.71%
23,1297,1083,83.50%
24,593,518,87.35%
25,1452,1037,71.42%
26,1539,1324,86.03%
27,1462,1360,93.02%
28,466,394,84.55%
29,1088,1005,92.37%
30,1434,1324,92.33%
Total,"35,262","30,840",87.46%
,,,
Ward 33,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1864,1396,74.89%
2,1790,1441,80.50%
3,1528,1130,73.95%
4,1880,1453,77.29%
5,1584,1179,74.43%
6,1754,1277,72.81%
7,1802,1261,69.98%
8,1141,832,72.92%
9,1522,965,63.40%
10,1376,946,68.75%
11,1270,819,64.49%
12,1688,1165,69.02%
13,1446,1066,73.72%
14,1534,1256,81.88%
15,1398,1040,74.39%
16,1260,1052,83.49%
17,1620,1149,70.93%
Total,"26,457","19,427",73.43%
,,,
Ward 34,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1104,982,88.95%
2,694,578,83.29%
3,1701,1529,89.89%
4,917,726,79.17%
5,1472,1393,94.63%
6,1069,948,88.68%
7,557,503,90.31%
8,915,790,86.34%
9,1741,1549,88.97%
10,647,564,87.17%
11,1172,1077,91.89%
12,970,908,93.61%
13,1474,1321,89.62%
14,1377,1199,87.07%
15,1296,999,77.08%
16,1730,1636,94.57%
17,1544,1345,87.11%
18,1490,1247,83.69%
19,1121,1055,94.11%
20,1361,1210,88.91%
Total,"24,352","21,559",88.53%
,,,
Ward 35,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,868,404,46.54%
2,1716,869,50.64%
3,1090,644,59.08%
4,1253,842,67.20%
5,1600,1163,72.69%
6,2126,1761,82.83%
7,1764,1220,69.16%
8,842,659,78.27%
9,1555,1359,87.40%
10,1298,974,75.04%
11,1497,1092,72.95%
12,1882,1459,77.52%
13,1438,1069,74.34%
14,1200,819,68.25%
15,1723,1192,69.18%
16,2010,1491,74.18%
17,1562,1124,71.96%
18,1028,725,70.53%
19,1287,936,72.73%
20,695,562,80.86%
21,1329,920,69.22%
22,1519,1115,73.40%
Total,"31,282","22,399",71.60%
,,,
Ward 36,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,916,564,61.57%
2,1158,671,57.94%
3,821,513,62.48%
4,1105,644,58.28%
5,1123,627,55.83%
6,892,465,52.13%
7,857,437,50.99%
8,462,331,71.65%
9,1807,867,47.98%
10,1695,796,46.96%
11,1058,508,48.02%
12,750,399,53.20%
13,470,225,47.87%
14,1274,651,51.10%
15,645,285,44.19%
16,522,221,42.34%
17,1069,768,71.84%
18,1114,816,73.25%
19,1524,1069,70.14%
20,1417,1082,76.36%
21,961,806,83.87%
22,1201,959,79.85%
23,1077,916,85.05%
24,1142,960,84.06%
25,1349,1039,77.02%
26,1164,1024,87.97%
27,1391,1083,77.86%
Total,"28,964","18,726",64.65%
,,,
Ward 37,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1320,663,50.23%
2,1401,622,44.40%
3,1327,602,45.37%
4,1164,620,53.26%
5,1060,462,43.58%
6,1515,822,54.26%
7,1335,648,48.54%
8,1560,765,49.04%
9,796,351,44.10%
10,1072,572,53.36%
11,1159,557,48.06%
12,1500,798,53.20%
13,1123,496,44.17%
14,1442,743,51.53%
15,1390,687,49.42%
16,1457,783,53.74%
17,1079,519,48.10%
18,1341,635,47.35%
19,1212,510,42.08%
20,1597,758,47.46%
21,1078,552,51.21%
22,1308,661,50.54%
Total,"28,236","13,826",48.97%
,,,
Ward 38,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1644,1208,73.48%
2,937,670,71.50%
3,1283,902,70.30%
4,1190,771,64.79%
5,1625,1113,68.49%
6,1094,722,66.00%
7,1466,942,64.26%
8,1193,779,65.30%
9,1256,813,64.73%
10,1188,775,65.24%
11,1261,893,70.82%
12,1789,1214,67.86%
13,1026,647,63.06%
14,1184,786,66.39%
15,1256,766,60.99%
16,1804,1127,62.47%
17,1318,905,68.66%
18,1775,1175,66.20%
19,1810,1205,66.57%
20,1566,1035,66.09%
21,1787,1227,68.66%
22,1206,776,64.34%
23,1654,1113,67.29%
24,1638,1125,68.68%
25,1630,1176,72.15%
Total,"35,580","23,865",67.07%
,,,
Ward 39,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1018,846,83.10%
2,682,531,77.86%
3,787,590,74.97%
4,1041,813,78.10%
5,850,620,72.94%
6,809,516,63.78%
7,726,503,69.28%
8,868,545,62.79%
9,798,482,60.40%
10,828,587,70.89%
11,760,525,69.08%
12,1704,991,58.16%
13,1459,1092,74.85%
14,1576,1181,74.94%
15,1346,923,68.57%
16,754,541,71.75%
17,1681,1267,75.37%
18,805,581,72.17%
19,1916,1263,65.92%
20,903,710,78.63%
21,1749,1096,62.66%
22,824,553,67.11%
23,109,93,85.32%
24,846,653,77.19%
25,1043,673,64.53%
26,836,502,60.05%
27,939,592,63.05%
