Registered Voters,Ballots Cast,Turnout,
2,689,491,71.26%
3,568,476,83.80%
4,637,349,54.79%
5,692,549,79.34%
6,756,565,74.74%
7,737,508,68.93%
8,649,527,81.20%
9,705,572,81.13%
10,649,520,80.12%
11,782,680,86.96%
12,567,456,80.42%
13,828,690,83.33%
14,506,464,91.70%
15,652,322,49.39%
16,563,533,94.67%
17,633,345,54.50%
18,663,473,71.34%
19,654,539,82.42%
20,583,318,54.55%
21,723,606,83.82%
22,731,629,86.05%
23,775,654,84.39%
24,602,545,90.53%
25,709,514,72.50%
26,672,510,75.89%
27,583,416,71.36%
28,525,393,74.86%
29,823,699,84.93%
30,413,312,75.54%
31,786,670,85.24%
32,842,635,75.42%
33,557,392,70.38%
34,653,567,86.83%
35,762,706,92.65%
36,474,335,70.68%
37,336,244,72.62%
Total,"24,123","18,744",77.70%
,,,
Ward 21,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,738,566,76.69%
2,658,507,77.05%
3,712,525,73.74%
4,786,606,77.10%
5,705,523,74.18%
6,701,541,77.18%
7,664,548,82.53%
8,654,554,84.71%
9,717,556,77.55%
10,695,528,75.97%
11,700,566,80.86%
12,718,554,77.16%
13,726,566,77.96%
14,757,623,82.30%
15,628,540,85.99%
16,690,560,81.16%
17,724,512,70.72%
18,775,644,83.10%
19,744,547,73.52%
20,667,516,77.36%
21,690,509,73.77%
22,662,513,77.49%
23,642,521,81.15%
24,697,541,77.62%
25,662,513,77.49%
26,716,565,78.91%
27,702,552,78.63%
28,696,560,80.46%
29,733,559,76.26%
30,683,530,77.60%
31,438,358,81.74%
32,678,511,75.37%
33,727,531,73.04%
34,738,590,79.95%
35,715,532,74.41%
36,715,587,82.10%
37,663,470,70.89%
38,776,624,80.41%
39,644,532,82.61%
40,730,581,79.59%
41,718,541,75.35%
42,756,583,77.12%
43,753,583,77.42%
44,710,536,75.49%
45,765,589,76.99%
46,732,550,75.14%
47,694,541,77.95%
48,670,525,78.36%
49,656,492,75.00%
50,658,485,73.71%
51,712,565,79.35%
52,751,612,81.49%
53,546,437,80.04%
54,728,554,76.10%
Total,"37,715","29,354",77.83%
,,,
Ward 22,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,710,539,75.92%
2,725,506,69.79%
3,769,371,48.24%
4,824,394,47.82%
5,735,402,54.69%
6,746,363,48.66%
7,732,404,55.19%
8,667,520,77.96%
9,754,372,49.34%
10,753,440,58.43%
11,729,321,44.03%
12,628,396,63.06%
13,720,365,50.69%
14,837,392,46.83%
15,688,347,50.44%
16,701,411,58.63%
17,738,364,49.32%
18,806,371,46.03%
19,399,300,75.19%
20,707,341,48.23%
21,885,644,72.77%
22,745,343,46.04%
23,627,501,79.90%
24,745,384,51.54%
25,667,365,54.72%
Total,"18,037","10,156",56.31%
,,,
Ward 23,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,517,408,78.92%
2,540,425,78.70%
3,536,397,74.07%
4,552,416,75.36%
5,526,340,64.64%
6,545,385,70.64%
7,523,359,68.64%
8,609,434,71.26%
9,503,338,67.20%
10,558,417,74.73%
11,564,436,77.30%
12,523,386,73.80%
13,512,312,60.94%
14,499,341,68.34%
15,543,340,62.62%
16,524,390,74.43%
17,517,281,54.35%
18,534,406,76.03%
19,576,357,61.98%
20,525,258,49.14%
21,536,421,78.54%
22,549,398,72.50%
23,521,383,73.51%
24,546,344,63.00%
25,568,367,64.61%
26,534,361,67.60%
27,501,379,75.65%
28,520,414,79.62%
29,483,325,67.29%
30,526,389,73.95%
31,501,289,57.68%
32,523,383,73.23%
33,586,389,66.38%
34,575,348,60.52%
35,419,306,73.03%
36,513,391,76.22%
37,512,377,73.63%
38,502,368,73.31%
39,546,340,62.27%
Total,"20,687","14,398",69.60%
,,,
Ward 24,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,681,494,72.54%
2,743,577,77.66%
3,827,583,70.50%
4,508,428,84.25%
5,401,328,81.80%
6,696,517,74.28%
7,404,242,59.90%
8,430,311,72.33%
9,764,563,73.69%
10,407,297,72.97%
11,793,608,76.67%
12,472,420,88.98%
13,468,356,76.07%
14,638,535,83.86%
15,458,342,74.67%
16,688,416,60.47%
17,590,455,77.12%
18,697,609,87.37%
19,796,611,76.76%
20,599,448,74.79%
21,340,266,78.24%
22,885,693,78.31%
23,700,506,72.29%
24,897,728,81.16%
25,633,495,78.20%
26,772,618,80.05%
27,720,562,78.06%
28,583,421,72.21%
29,466,361,77.47%
30,402,330,82.09%
31,808,594,73.51%
32,434,323,74.42%
33,456,344,75.44%
34,688,459,66.72%
35,627,559,89.15%
36,851,638,74.97%
37,426,332,77.93%
38,539,410,76.07%
39,743,527,70.93%
40,730,515,70.55%
41,519,393,75.72%
Total,"25,279","19,214",76.01%
,,,
Ward 25,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,632,366,57.91%
2,739,422,57.10%
3,741,644,86.91%
4,673,527,78.31%
5,720,427,59.31%
6,695,253,36.40%
7,675,395,58.52%
8,754,444,58.89%
9,778,482,61.95%
10,691,601,86.98%
11,783,469,59.90%
12,678,306,45.13%
13,762,481,63.12%
14,720,429,59.58%
15,687,403,58.66%
16,694,636,91.64%
17,745,561,75.30%
18,842,484,57.48%
19,811,469,57.83%
20,716,554,77.37%
21,944,823,87.18%
22,709,382,53.88%
23,673,561,83.36%
24,729,416,57.06%
25,659,479,72.69%
26,708,439,62.01%
27,730,555,76.03%
28,841,514,61.12%
29,710,552,77.75%
30,747,427,57.16%
31,715,586,81.96%
32,699,396,56.65%
Total,"23,400","15,483",66.17%
,,,
Ward 26,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,719,457,63.56%
2,722,471,65.24%
3,715,506,70.77%
4,658,437,66.41%
5,686,454,66.18%
6,581,329,56.63%
7,591,416,70.39%
8,663,349,52.64%
9,662,385,58.16%
10,693,514,74.17%
11,528,336,63.64%
12,687,465,67.69%
13,620,368,59.35%
14,558,314,56.27%
15,663,313,47.21%
16,666,353,53.00%
17,686,457,66.62%
18,720,437,60.69%
19,580,343,59.14%
20,643,461,71.70%
21,918,619,67.43%
22,670,382,57.01%
23,691,305,44.14%
24,611,371,60.72%
25,590,403,68.31%
26,528,330,62.50%
27,574,414,72.13%
28,611,459,75.12%
29,642,417,64.95%
30,698,466,66.76%
31,678,381,56.19%
32,559,411,73.52%
33,704,527,74.86%
34,672,503,74.85%
35,601,416,69.22%
36,667,444,66.57%
Total,"23,455","15,013",64.01%
,,,
Ward 27,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,692,569,82.23%
2,735,579,78.78%
3,564,394,69.86%
4,662,494,74.62%
5,627,389,62.04%
6,785,761,96.94%
7,768,609,79.30%
8,655,479,73.13%
9,716,598,83.52%
10,656,524,79.88%
11,649,527,81.20%
12,613,533,86.95%
13,824,634,76.94%
14,703,529,75.25%
15,630,553,87.78%
16,609,466,76.52%
17,683,578,84.63%
18,537,413,76.91%
19,655,437,66.72%
20,725,708,97.66%
21,752,692,92.02%
22,580,380,65.52%
23,641,486,75.82%
24,692,481,69.51%
25,634,490,77.29%
26,580,422,72.76%
27,703,581,82.65%
28,626,506,80.83%
29,690,467,67.68%
30,749,573,76.50%
31,594,464,78.11%
32,592,413,69.76%
33,648,514,79.32%
34,669,513,76.68%
35,652,540,82.82%
36,645,431,66.82%
37,723,617,85.34%
38,616,506,82.14%
39,723,547,75.66%
40,793,574,72.38%
41,638,550,86.21%
42,649,557,85.82%
43,635,478,75.28%
44,679,539,79.38%
45,704,563,79.97%
Total,"30,095","23,658",78.61%
,,,
Ward 28,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,601,503,83.69%
2,616,463,75.16%
3,558,463,82.97%
4,533,381,71.48%
5,333,292,87.69%
6,258,220,85.27%
7,826,623,75.42%
8,473,378,79.92%
9,896,628,70.09%
10,661,502,75.95%
11,1126,839,74.51%
12,739,510,69.01%
13,616,471,76.46%
14,707,495,70.01%
15,202,173,85.64%
16,582,399,68.56%
17,678,493,72.71%
18,452,381,84.29%
19,564,395,70.04%
20,628,503,80.10%
21,573,449,78.36%
22,528,449,85.04%
23,931,654,70.25%
24,703,574,81.65%
25,890,720,80.90%
26,865,624,72.14%
27,524,433,82.63%
28,600,455,75.83%
29,500,286,57.20%
30,109,77,70.64%
31,885,630,71.19%
32,756,562,74.34%
33,770,569,73.90%
