Registered Voters,Ballots Cast,Turnout,
50,717,498,69.46%
Total,"38,160","27,580",72.27%
,,,
Ward 28,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,590,326,55.25%
2,835,392,46.95%
3,549,315,57.38%
4,596,477,80.03%
5,413,284,68.77%
6,293,246,83.96%
7,738,425,57.59%
8,796,690,86.68%
9,697,405,58.11%
10,823,598,72.66%
11,1373,973,70.87%
12,749,383,51.13%
13,779,513,65.85%
14,691,398,57.60%
15,124,90,72.58%
16,463,268,57.88%
17,580,348,60.00%
18,465,347,74.62%
19,506,367,72.53%
20,617,343,55.59%
21,574,322,56.10%
22,564,394,69.86%
23,888,522,58.78%
24,649,354,54.55%
25,883,600,67.95%
26,755,409,54.17%
27,553,485,87.70%
28,683,589,86.24%
29,1196,227,18.98%
30,86,57,66.28%
31,897,526,58.64%
32,724,397,54.83%
33,804,441,54.85%
34,1226,734,59.87%
35,877,486,55.42%
36,395,221,55.95%
37,864,470,54.40%
38,403,152,37.72%
39,553,316,57.14%
40,852,508,59.62%
41,508,277,54.53%
42,745,425,57.05%
43,879,530,60.30%
44,570,307,53.86%
45,781,687,87.96%
46,1106,817,73.87%
Total,"31,692","19,441",61.34%
,,,
Ward 29,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,831,700,84.24%
2,1079,653,60.52%
3,846,547,64.66%
4,926,596,64.36%
5,704,409,58.10%
6,706,397,56.23%
7,735,526,71.56%
8,878,482,54.90%
9,741,569,76.79%
10,801,654,81.65%
11,441,293,66.44%
12,868,585,67.40%
13,858,519,60.49%
14,706,438,62.04%
15,796,534,67.09%
16,741,476,64.24%
17,729,464,63.65%
18,799,488,61.08%
19,739,496,67.12%
20,906,515,56.84%
21,1074,699,65.08%
22,709,431,60.79%
23,839,642,76.52%
24,697,471,67.58%
25,831,555,66.79%
26,700,470,67.14%
27,704,447,63.49%
28,967,618,63.91%
29,953,687,72.09%
30,968,712,73.55%
31,974,636,65.30%
32,949,631,66.49%
33,514,360,70.04%
34,525,384,73.14%
35,609,373,61.25%
36,638,416,65.20%
37,745,461,61.88%
38,975,658,67.49%
39,979,665,67.93%
40,1092,550,50.37%
41,682,426,62.46%
42,867,558,64.36%
43,808,628,77.72%
44,947,645,68.11%
Total,"35,576","23,464",65.95%
,,,
Ward 30,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,904,653,72.23%
2,951,657,69.09%
3,567,467,82.36%
4,876,596,68.04%
5,812,468,57.64%
6,764,494,64.66%
7,876,639,72.95%
8,968,691,71.38%
9,800,547,68.38%
10,1034,653,63.15%
11,921,585,63.52%
12,903,555,61.46%
13,864,589,68.17%
14,783,465,59.39%
15,606,514,84.82%
16,561,357,63.64%
17,934,625,66.92%
18,1064,713,67.01%
19,1053,610,57.93%
20,876,644,73.52%
21,700,454,64.86%
22,1178,840,71.31%
23,1013,722,71.27%
24,1162,864,74.35%
25,1201,866,72.11%
26,594,380,63.97%
27,603,436,72.31%
28,802,575,71.70%
29,678,427,62.98%
30,452,258,57.08%
31,557,384,68.94%
32,607,484,79.74%
Total,"26,664","18,212",68.30%
,,,
Ward 31,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,641,384,59.91%
2,573,350,61.08%
3,605,399,65.95%
4,658,500,75.99%
5,613,407,66.39%
6,464,287,61.85%
7,747,578,77.38%
8,568,355,62.50%
9,680,441,64.85%
10,694,456,65.71%
11,520,352,67.69%
12,524,356,67.94%
13,681,444,65.20%
14,626,397,63.42%
15,633,415,65.56%
16,645,472,73.18%
17,618,386,62.46%
18,620,385,62.10%
19,597,367,61.47%
20,577,359,62.22%
21,576,359,62.33%
22,611,360,58.92%
23,641,416,64.90%
24,635,428,67.40%
25,624,388,62.18%
26,607,419,69.03%
27,789,460,58.30%
28,575,349,60.70%
29,624,386,61.86%
30,569,322,56.59%
31,544,359,65.99%
32,584,333,57.02%
33,593,398,67.12%
34,640,416,65.00%
35,695,472,67.91%
36,614,423,68.89%
37,606,388,64.03%
38,589,364,61.80%
39,653,448,68.61%
40,665,456,68.57%
41,619,380,61.39%
Total,"25,337","16,414",64.78%
,,,
Ward 32,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1105,935,84.62%
2,973,850,87.36%
3,859,774,90.10%
4,834,695,83.33%
5,876,793,90.53%
6,992,892,89.92%
7,970,884,91.13%
8,1110,989,89.10%
9,930,784,84.30%
10,986,877,88.95%
11,715,634,88.67%
12,619,504,81.42%
13,1056,890,84.28%
14,851,750,88.13%
15,819,722,88.16%
16,831,727,87.48%
17,793,688,86.76%
18,880,755,85.80%
19,862,743,86.19%
20,813,670,82.41%
21,845,754,89.23%
22,1017,837,82.30%
23,883,801,90.71%
24,819,700,85.47%
25,858,740,86.25%
26,836,722,86.36%
27,966,850,87.99%
28,845,696,82.37%
29,840,771,91.79%
30,902,802,88.91%
31,937,823,87.83%
32,978,872,89.16%
33,867,759,87.54%
34,937,841,89.75%
35,901,766,85.02%
36,917,828,90.29%
37,976,888,90.98%
38,924,787,85.17%
39,1037,921,88.81%
40,867,787,90.77%
41,944,818,86.65%
42,857,755,88.10%
43,754,636,84.35%
Total,"38,581","33,710",87.37%
,,,
Ward 33,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,989,778,78.67%
2,1332,1050,78.83%
3,1177,1005,85.39%
4,1231,992,80.58%
5,937,742,79.19%
6,864,655,75.81%
7,1103,787,71.35%
8,1038,902,86.90%
9,1035,833,80.48%
10,855,657,76.84%
11,995,758,76.18%
12,957,758,79.21%
13,915,700,76.50%
14,500,358,71.60%
15,987,746,75.58%
16,1289,1025,79.52%
17,1012,767,75.79%
18,1359,1074,79.03%
19,1112,900,80.94%
20,1147,925,80.65%
21,956,759,79.39%
22,862,696,80.74%
23,929,801,86.22%
24,983,871,88.61%
25,1119,883,78.91%
26,707,570,80.62%
27,1108,888,80.14%
28,856,671,78.39%
Total,"28,354","22,551",79.53%
,,,
Ward 34,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,714,505,70.73%
2,574,414,72.13%
3,752,462,61.44%
4,613,350,57.10%
5,663,416,62.75%
6,785,521,66.37%
7,720,498,69.17%
8,667,407,61.02%
9,624,321,51.44%
10,678,465,68.58%
11,699,407,58.23%
12,740,491,66.35%
13,710,460,64.79%
14,699,377,53.93%
15,790,435,55.06%
16,696,411,59.05%
17,875,572,65.37%
18,569,329,57.82%
19,825,522,63.27%
20,710,494,69.58%
21,738,518,70.19%
22,622,453,72.83%
23,607,380,62.60%
24,682,405,59.38%
25,1022,683,66.83%
26,832,524,62.98%
27,651,390,59.91%
28,599,308,51.42%
29,606,381,62.87%
30,569,425,74.69%
31,720,380,52.78%
32,727,459,63.14%
33,632,388,61.39%
34,743,516,69.45%
35,888,572,64.41%
36,615,391,63.58%
37,596,265,44.46%
38,525,236,44.95%
39,607,350,57.66%
40,809,521,64.40%
41,523,290,55.45%
42,652,443,67.94%
43,569,401,70.47%
44,675,445,65.93%
45,695,463,66.62%
46,473,310,65.54%
47,711,419,58.93%
48,678,453,66.81%
49,609,426,69.95%
50,662,380,57.40%
51,691,483,69.90%
52,486,345,70.99%
53,554,322,58.12%
Total,"35,871","22,582",62.95%
,,,
Ward 35,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,877,678,77.31%
2,782,643,82.23%
3,803,570,70.98%
4,808,623,77.10%
5,722,553,76.59%
6,879,645,73.38%
7,826,651,78.81%
8,842,633,75.18%
9,852,648,76.06%
10,840,716,85.24%
11,991,729,73.56%
12,767,472,61.54%
13,816,499,61.15%
14,794,521,65.62%
15,983,747,75.99%
16,691,383,55.43%
17,878,661,75.28%
18,734,442,60.22%
19,759,437,57.58%
20,901,659,73.14%
21,875,646,73.83%
22,1079,761,70.53%
23,875,657,75.09%
24,803,570,70.98%
25,800,652,81.50%
26,733,539,73.53%
27,795,589,74.09%
28,765,606,79.22%
29,936,646,69.02%
30,919,633,68.88%
31,860,675,78.49%
Total,"25,985","18,884",72.67%
,,,
Ward 36,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,834,538,64.51%
2,926,550,59.40%
3,694,474,68.30%
4,992,574,57.86%
5,853,478,56.04%
6,811,512,63.13%
7,858,644,75.06%
8,701,450,64.19%
9,874,525,60.07%
10,984,700,71.14%
11,658,395,60.03%
12,720,399,55.42%
13,656,408,62.20%
14,832,599,72.00%
15,821,586,71.38%
16,815,549,67.36%
17,927,674,72.71%
18,901,621,68.92%
19,1005,690,68.66%
20,908,627,69.05%
21,897,505,56.30%
22,805,483,60.00%
23,908,504,55.51%
24,1014,670,66.07%
25,914,559,61.16%
26,865,564,65.20%
27,783,507,64.75%
28,857,577,67.33%
29,916,606,66.16%
30,840,545,64.88%
Total,"25,569","16,513",64.58%
,,,
Ward 37,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,618,403,65.21%
2,704,386,54.83%
3,642,328,51.09%
4,691,369,53.40%
5,754,470,62.33%
6,756,483,63.89%
7,675,366,54.22%
8,612,339,55.39%
9,798,468,58.65%
10,923,568,61.54%
11,552,310,56.16%
12,767,426,55.54%
13,620,333,53.71%
14,810,482,59.51%
15,787,467,59.34%
16,794,528,66.50%
17,622,327,52.57%
18,662,395,59.67%
19,750,338,45.07%
20,664,400,60.24%
21,725,417,57.52%
22,806,433,53.72%
23,671,427,63.64%
24,754,470,62.33%
25,702,396,56.41%
26,849,587,69.14%
27,729,419,57.48%
28,671,407,60.66%
29,747,438,58.63%
30,781,435,55.70%
31,846,507,59.93%
32,686,395,57.58%
33,819,494,60.32%
34,727,393,54.06%
35,692,428,61.85%
36,739,429,58.05%
37,864,500,57.87%
38,757,476,62.88%
39,724,429,59.25%
40,741,469,63.29%
41,761,479,62.94%
Total,"29,992","17,614",58.73%
,,,
Ward 38,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,780,550,70.51%
2,790,651,82.41%
3,943,646,68.50%
4,818,600,73.35%
5,875,635,72.57%
6,937,648,69.16%
7,831,585,70.40%
8,863,594,68.83%
9,900,684,76.00%
10,814,538,66.09%
11,729,547,75.03%
12,864,635,73.50%
13,952,685,71.95%
14,856,633,73.95%
15,806,577,71.59%
16,829,598,72.14%
17,964,729,75.62%
18,862,650,75.41%
19,945,689,72.91%
20,879,632,71.90%
21,811,580,71.52%
22,754,548,72.68%
23,798,613,76.82%
24,840,636,75.71%
25,774,576,74.42%
26,885,654,73.90%
27,934,631,67.56%
28,979,736,75.18%
29,895,632,70.61%
30,919,629,68.44%
31,758,594,78.36%
32,839,584,69.61%
33,887,598,67.42%
34,805,578,71.80%
35,817,592,72.46%
36,791,577,72.95%
37,816,600,73.53%
38,819,606,73.99%
39,863,665,77.06%
40,800,598,74.75%
41,666,527,79.13%
Total,"34,687","25,260",72.82%
,,,
Ward 39,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,694,621,89.48%
2,703,574,81.65%
3,818,647,79.10%
4,688,581,84.45%
5,788,625,79.31%
6,855,616,72.05%
7,711,535,75.25%
8,930,655,70.43%
9,817,569,69.65%
10,377,282,74.80%
11,763,576,75.49%
12,1124,813,72.33%
13,831,579,69.68%
14,791,592,74.84%
15,901,735,81.58%
16,898,616,68.60%
17,741,616,83.13%
18,798,592,74.19%
19,819,585,71.43%
20,946,760,80.34%
21,770,601,78.05%
22,853,641,75.15%
23,749,596,79.57%
24,883,748,84.71%
25,800,537,67.13%
26,801,598,74.66%
27,110,94,85.45%
28,888,728,81.98%
29,520,353,67.88%
30,941,709,75.35%
31,827,528,63.85%
32,850,587,69.06%
33,917,657,71.65%
34,952,729,76.58%
35,812,622,76.60%
36,275,157,57.09%
37,657,567,86.30%
38,368,311,84.51%
39,465,375,80.65%
40,804,632,78.61%
41,771,624,80.93%
42,716,630,87.99%
43,761,629,82.65%
44,569,486,85.41%
45,668,537,80.39%
Total,"33,720","25,845",76.65%
,,,
Ward 40,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,895,655,73.18%
2,902,692,76.72%
3,962,811,84.30%
4,581,413,71.08%
5,873,720,82.47%
6,880,768,87.27%
7,741,628,84.75%
8,961,861,89.59%
9,832,579,69.59%
10,1039,771,74.21%
11,748,658,87.97%
12,672,588,87.50%
13,1031,956,92.73%
14,932,676,72.53%
15,906,681,75.17%
16,932,852,91.42%
17,736,551,74.86%
18,870,572,65.75%
19,1071,825,77.03%
20,923,707,76.60%
21,860,723,84.07%
22,896,809,90.29%
23,935,767,82.03%
24,927,648,69.90%
25,870,766,88.05%
26,803,703,87.55%
27,1064,856,80.45%
28,843,702,83.27%
29,856,660,77.10%
30,692,571,82.51%
31,848,717,84.55%
32,824,714,86.65%
33,693,633,91.34%
34,826,619,74.94%
35,811,510,62.89%
36,691,582,84.23%
37,915,698,76.28%
38,887,796,89.74%
39,430,288,66.98%
Total,"33,158","26,726",80.60%
,,,
Ward 41,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,757,624,82.43%
2,765,659,86.14%
3,793,638,80.45%
4,704,615,87.36%
5,929,792,85.25%
6,816,718,87.99%
7,798,665,83.33%
8,786,641,81.55%
9,782,632,80.82%
10,748,634,84.76%
11,860,688,80.00%
12,927,705,76.05%
13,928,773,83.30%
14,772,679,87.95%
15,965,796,82.49%
16,772,611,79.15%
17,762,570,74.80%
18,706,595,84.28%
19,833,702,84.27%
20,644,470,72.98%
21,800,626,78.25%
22,842,694,82.42%
23,889,689,77.50%
24,819,619,75.58%
25,1060,691,65.19%
26,710,549,77.32%
27,888,661,74.44%
28,981,752,76.66%
29,927,596,64.29%
30,802,612,76.31%
31,771,599,77.69%
32,691,536,77.57%
33,763,611,80.08%
34,734,598,81.47%
35,927,773,83.39%
36,757,632,83.49%
37,873,702,80.41%
38,819,631,77.05%
39,818,683,83.50%
40,852,721,84.62%
41,830,676,81.45%
42,777,660,84.94%
43,834,672,80.58%
44,787,656,83.35%
45,831,635,76.41%
46,772,632,81.87%
47,870,717,82.41%
Total,"38,471","30,830",80.14%
,,,
Ward 42,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,771,670,86.90%
2,1086,1015,93.46%
3,904,788,87.17%
4,2217,1912,86.24%
5,801,676,84.39%
6,752,687,91.36%
7,1055,913,86.54%
8,771,644,83.53%
9,1355,1012,74.69%
10,1221,1077,88.21%
11,632,532,84.18%
12,737,667,90.50%
13,655,577,88.09%
14,1256,1086,86.46%
15,1318,1126,85.43%
16,893,793,88.80%
17,1519,1300,85.58%
18,1225,1038,84.73%
19,1213,1030,84.91%
20,1188,1038,87.37%
21,1087,955,87.86%
22,550,451,82.00%
23,1059,895,84.51%
24,878,751,85.54%
25,1130,942,83.36%
26,1590,1337,84.09%
27,617,528,85.58%
28,929,763,82.13%
29,1069,932,87.18%
30,659,583,88.47%
31,1095,964,88.04%
32,1182,973,82.32%
33,1044,848,81.23%
34,754,639,84.75%
35,1154,982,85.10%
36,1673,1414,84.52%
37,755,630,83.44%
38,940,803,85.43%
39,1736,1471,84.74%
40,1359,1178,86.68%
41,894,806,90.16%
42,1596,1371,85.90%
Total,"45,319","38,797",85.61%
,,,
Ward 43,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,463,405,87.47%
2,869,824,94.82%
3,824,751,91.14%
4,1044,1040,99.62%
5,792,717,90.53%
6,657,581,88.43%
7,555,507,91.35%
8,645,583,90.39%
9,865,801,92.60%
10,1044,921,88.22%
11,790,716,90.63%
12,532,491,92.29%
13,819,718,87.67%
14,807,729,90.33%
15,863,782,90.61%
16,1259,1093,86.81%
17,684,593,86.70%
18,1018,877,86.15%
19,844,756,89.57%
20,1016,924,90.94%
21,1005,869,86.47%
22,603,549,91.04%
23,615,535,86.99%
24,742,588,79.25%
25,679,621,91.46%
26,538,457,84.94%
27,760,687,90.39%
28,1099,953,86.72%
29,1198,1088,90.82%
30,842,781,92.76%
31,860,743,86.40%
32,866,782,90.30%
33,867,757,87.31%
34,533,478,89.68%
35,944,798,84.53%
36,566,506,89.40%
37,971,848,87.33%
38,687,573,83.41%
39,751,606,80.69%
40,640,558,87.19%
41,1032,900,87.21%
42,830,725,87.35%
43,892,791,88.68%
44,838,761,90.81%
45,505,432,85.54%
46,517,484,93.62%
Total,"36,770","32,679",88.87%
,,,
Ward 44,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1278,1186,92.80%
2,958,844,88.10%
3,485,457,94.23%
4,786,651,82.82%
5,892,781,87.56%
6,1094,1038,94.88%
7,578,527,91.18%
8,1218,1077,88.42%
9,913,824,90.25%
10,961,860,89.49%
11,996,900,90.36%
12,879,827,94.08%
13,782,700,89.51%
14,823,755,91.74%
15,827,740,89.48%
16,1025,931,90.83%
17,1097,1021,93.07%
18,1044,910,87.16%
19,988,940,95.14%
20,1022,956,93.54%
21,1010,923,91.39%
22,829,738,89.02%
23,810,748,92.35%
24,574,559,97.39%
25,940,824,87.66%
26,1014,953,93.98%
27,974,925,94.97%
28,933,827,88.64%
29,1037,945,91.13%
30,1036,963,92.95%
31,827,707,85.49%
32,1093,924,84.54%
33,854,819,95.90%
34,916,821,89.63%
35,1029,911,88.53%
36,938,886,94.46%
37,931,864,92.80%
38,1102,1015,92.11%
39,942,853,90.55%
40,892,808,90.58%
41,1139,1054,92.54%
Total,"38,466","34,992",90.97%
,,,
Ward 45,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,597,502,84.09%
2,738,612,82.93%
3,671,570,84.95%
4,847,740,87.37%
5,762,643,84.38%
6,957,814,85.06%
7,1082,877,81.05%
8,854,643,75.29%
9,842,630,74.82%
10,859,639,74.39%
11,651,488,74.96%
12,783,610,77.91%
13,615,513,83.41%
14,1138,866,76.10%
15,885,710,80.23%
16,678,506,74.63%
17,909,697,76.68%
18,962,699,72.66%
19,497,377,75.86%
20,632,452,71.52%
21,767,574,74.84%
22,846,608,71.87%
23,828,595,71.86%
24,699,500,71.53%
25,509,408,80.16%
26,483,363,75.16%
27,789,614,77.82%
28,715,538,75.24%
29,609,415,68.14%
30,763,585,76.67%
31,656,505,76.98%
32,771,583,75.62%
33,587,430,73.25%
34,846,623,73.64%
35,824,666,80.83%
36,804,645,80.22%
37,816,609,74.63%
38,845,619,73.25%
39,882,615,69.73%
40,792,560,70.71%
41,767,569,74.19%
42,733,563,76.81%
43,818,629,76.89%
44,762,582,76.38%
45,563,422,74.96%
46,662,482,72.81%
47,601,453,75.37%
48,657,520,79.15%
Total,"36,353","27,863",76.65%
,,,
Ward 46,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,714,560,78.43%
2,788,683,86.68%
3,921,833,90.45%
4,750,662,88.27%
5,1122,957,85.29%
6,878,692,78.82%
7,781,756,96.80%
8,695,539,77.55%
9,855,774,90.53%
10,1362,1248,91.63%
11,915,765,83.61%
12,890,770,86.52%
13,860,756,87.91%
14,1086,832,76.61%
15,829,757,91.31%
16,883,763,86.41%
17,917,794,86.59%
18,941,839,89.16%
19,553,505,91.32%
20,784,609,77.68%
21,747,572,76.57%
22,736,533,72.42%
23,804,634,78.86%
24,1001,907,90.61%
25,819,674,82.30%
26,1181,1020,86.37%
27,1057,925,87.51%
28,772,668,86.53%
29,731,604,82.63%
30,881,779,88.42%
31,829,749,90.35%
32,969,754,77.81%
33,840,781,92.98%
34,1096,899,82.03%
35,992,825,83.17%
36,733,689,94.00%
37,842,640,76.01%
38,1016,869,85.53%
39,777,712,91.63%
40,663,589,88.84%
Total,"35,010","29,917",85.45%
,,,
Ward 47,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,565,527,93.27%
2,808,748,92.57%
3,795,704,88.55%
4,990,882,89.09%
5,888,797,89.75%
6,1006,900,89.46%
7,809,705,87.14%
8,803,735,91.53%
9,808,743,91.96%
10,978,879,89.88%
11,870,785,90.23%
12,864,791,91.55%
13,793,706,89.03%
14,743,675,90.85%
15,989,870,87.97%
16,810,721,89.01%
17,879,748,85.10%
18,811,743,91.62%
19,1250,1129,90.32%
20,844,739,87.56%
21,805,693,86.09%
22,848,774,91.27%
23,923,802,86.89%
24,882,806,91.38%
25,1034,911,88.10%
26,1026,966,94.15%
27,735,655,89.12%
28,762,682,89.50%
29,940,847,90.11%
30,1047,899,85.86%
31,836,762,91.15%
32,980,872,88.98%
33,848,772,91.04%
34,803,746,92.90%
35,831,752,90.49%
36,930,820,88.17%
37,790,704,89.11%
38,827,747,90.33%
39,844,733,86.85%
40,764,695,90.97%
41,898,802,89.31%
42,789,694,87.96%
43,759,684,90.12%
44,867,745,85.93%
45,745,656,88.05%
46,851,783,92.01%
47,1014,907,89.45%
48,86,67,77.91%
Total,"40,767","36,503",89.54%
,,,
Ward 48,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,754,716,94.96%
2,355,312,87.89%
3,979,806,82.33%
4,770,684,88.83%
5,422,387,91.71%
6,1019,851,83.51%
7,785,712,90.70%
8,446,365,81.84%
9,584,487,83.39%
10,989,926,93.63%
11,627,557,88.84%
12,953,853,89.51%
13,978,917,93.76%
14,391,344,87.98%
15,539,448,83.12%
16,928,763,82.22%
17,702,622,88.60%
18,683,502,73.50%
19,537,467,86.96%
20,865,717,82.89%
21,1171,942,80.44%
22,631,553,87.64%
23,770,663,86.10%
24,1032,855,82.85%
25,631,555,87.96%
26,377,337,89.39%
27,837,669,79.93%
28,1007,875,86.89%
29,365,320,87.67%
30,642,569,88.63%
31,1182,988,83.59%
32,910,762,83.74%
33,436,373,85.55%
34,669,595,88.94%
35,710,480,67.61%
36,424,391,92.22%
37,854,728,85.25%
38,771,683,88.59%
39,637,540,84.77%
40,634,590,93.06%
41,995,883,88.74%
42,878,733,83.49%
43,945,799,84.55%
44,912,830,91.01%
45,557,493,88.51%
46,542,452,83.39%
Total,"33,825","29,094",86.01%
,,,
Ward 49,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,718,483,67.27%
2,495,425,85.86%
3,993,835,84.09%
4,1116,889,79.66%
5,954,643,67.40%
6,726,607,83.61%
7,733,577,78.72%
8,796,617,77.51%
9,847,713,84.18%
10,887,766,86.36%
11,1073,871,81.17%
12,1004,831,82.77%
13,951,805,84.65%
14,761,561,73.72%
15,719,523,72.74%
16,861,681,79.09%
17,729,608,83.40%
18,988,851,86.13%
19,860,663,77.09%
20,1170,1020,87.18%
21,621,440,70.85%
22,1015,746,73.50%
23,1076,896,83.27%
24,769,571,74.25%
25,1026,873,85.09%
26,1030,827,80.29%
27,946,787,83.19%
28,1121,966,86.17%
29,945,831,87.94%
30,1011,756,74.78%
31,677,523,77.25%
32,908,663,73.02%
33,706,541,76.63%
Total,"29,232","23,389",80.01%
,,,
Ward 50,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,815,628,77.06%
2,519,379,73.03%
3,688,542,78.78%
4,849,666,78.45%
5,642,463,72.12%
6,861,631,73.29%
7,762,626,82.15%
8,784,571,72.83%
9,706,495,70.11%
10,1044,713,68.30%
11,650,472,72.62%
12,326,273,83.74%
13,1044,682,65.33%
14,260,214,82.31%
15,793,649,81.84%
16,265,205,77.36%
17,993,688,69.28%
18,178,120,67.42%
19,722,464,64.27%
20,778,591,75.96%
21,696,529,76.01%
22,880,584,66.36%
23,711,458,64.42%
24,777,525,67.57%
25,884,644,72.85%
26,1030,682,66.21%
27,239,221,92.47%
28,1005,648,64.48%
29,891,611,68.57%
30,703,460,65.43%
31,1090,772,70.83%
32,999,687,68.77%
33,610,484,79.34%
34,994,789,79.38%
35,874,715,81.81%
36,793,592,74.65%
37,755,595,78.81%
38,289,242,83.74%
39,686,431,62.83%
40,937,643,68.62%
Total,"29,522","21,384",72.43%
